company,employee_id,department,job_title,job_level,location,base_salary
Acorn Health Systems,E0001,Customer Support,Support Manager,Manager,"San Francisco, CA",136500
Acorn Health Systems,E0002,Operations,Operations Manager,Manager,"Seattle, WA",153500
Acorn Health Systems,E0003,Marketing,Marketing Specialist,Junior,Remote (US),64000
Acorn Health Systems,E0004,Sales,Account Executive,Mid,"Atlanta, GA",112000
Acorn Health Systems,E0005,Engineering,Engineering Manager,Manager,"San Francisco, CA",260000
Acorn Health Systems,E0006,Engineering,Software Engineer,Mid,"Seattle, WA",161000
Acorn Health Systems,E0007,Engineering,Software Engineer,Mid,Remote (US),118500
Acorn Health Systems,E0008,HR,HR Manager,Manager,"Seattle, WA",135500
Acorn Health Systems,E0009,Product,Product Designer,Senior,"Austin, TX",165000
Acorn Health Systems,E0010,Marketing,Marketing Specialist,Junior,Remote (US),67000
Acorn Health Systems,E0011,Engineering,Engineering Manager,Senior Manager,"Austin, TX",242500
Acorn Health Systems,E0012,Operations,Operations Analyst,Junior,"Austin, TX",79500
Acorn Health Systems,E0013,Finance,Financial Analyst,Junior,"Chicago, IL",74500
Acorn Health Systems,E0014,Engineering,Software Engineer,Senior,"Austin, TX",168000
Acorn Health Systems,E0015,Engineering,QA Engineer,Junior,Remote (US),75000
Acorn Health Systems,E0016,Engineering,Engineering Manager,Manager,"Chicago, IL",191000
Acorn Health Systems,E0017,Customer Support,Support Specialist,Senior,"Austin, TX",87500
Acorn Health Systems,E0018,Sales,Sales Manager,Senior Manager,"Atlanta, GA",146000
Acorn Health Systems,E0019,Customer Support,Support Specialist,Senior,"San Francisco, CA",119000
Acorn Health Systems,E0020,Engineering,Software Engineer,Mid,"Austin, TX",119500
Acorn Health Systems,E0021,Product,Product Manager,Associate,"San Francisco, CA",112000
Acorn Health Systems,E0022,Engineering,Engineering Manager,Senior Manager,"Chicago, IL",241500
Acorn Health Systems,E0023,Engineering,QA Engineer,Junior,"Austin, TX",113000
Acorn Health Systems,E0024,Customer Support,Support Lead,Lead,Remote (US),82500
Acorn Health Systems,E0025,Customer Support,Support Lead,Lead,"Atlanta, GA",96500
Acorn Health Systems,E0026,Finance,Finance Manager,Manager,"Atlanta, GA",135000
Acorn Health Systems,E0027,Engineering,Data Engineer,Junior,"Chicago, IL",102000
Acorn Health Systems,E0028,Sales,Sales Development Rep,Mid,Remote (US),91500
Acorn Health Systems,E0029,Sales,Sales Manager,Manager,Remote (US),151000
Acorn Health Systems,E0030,Engineering,QA Engineer,Junior,"Seattle, WA",106000
Acorn Health Systems,E0031,Product,Product Manager,Mid,"Chicago, IL",129000
Acorn Health Systems,E0032,Engineering,QA Engineer,Junior,"Seattle, WA",108000
Acorn Health Systems,E0033,Engineering,QA Engineer,Junior,Remote (US),102000
Acorn Health Systems,E0034,Operations,Program Manager,Senior,Remote (US),131500
Acorn Health Systems,E0035,Operations,Program Manager,Mid,"Austin, TX",112500
Acorn Health Systems,E0036,Finance,Financial Analyst,Junior,Remote (US),71000
Acorn Health Systems,E0037,Customer Support,Support Manager,Manager,Remote (US),118500
Acorn Health Systems,E0038,Engineering,Engineering Manager,Senior Manager,"Austin, TX",198000
Acorn Health Systems,E0039,Product,Product Manager,Associate,"Atlanta, GA",92000
Acorn Health Systems,E0040,Customer Support,Support Lead,Lead,"San Francisco, CA",115000
Acorn Health Systems,E0041,Engineering,Software Engineer,Mid,Remote (US),138000
Acorn Health Systems,E0042,Sales,Account Executive,Senior,"Atlanta, GA",124000
Acorn Health Systems,E0043,Engineering,Software Engineer,Staff,"Chicago, IL",196500
Acorn Health Systems,E0044,HR,HR Manager,Manager,"Atlanta, GA",117000
Acorn Health Systems,E0045,Engineering,QA Engineer,Senior,"San Francisco, CA",189500
Acorn Health Systems,E0046,Product,UX Researcher,Senior,"San Francisco, CA",189000
Acorn Health Systems,E0047,Customer Support,Support Manager,Manager,Remote (US),104000
Acorn Health Systems,E0048,Sales,Sales Development Rep,Junior,"Austin, TX",62500
Acorn Health Systems,E0049,Sales,Sales Development Rep,Junior,"Chicago, IL",72000
Acorn Health Systems,E0050,Engineering,Software Engineer,Senior,"Atlanta, GA",164500
Acorn Health Systems,E0051,Operations,Operations Analyst,Senior,"San Francisco, CA",157000
Acorn Health Systems,E0052,Marketing,Marketing Manager,Senior Manager,Remote (US),154500
Acorn Health Systems,E0053,Operations,Operations Manager,Manager,"Seattle, WA",138500
Acorn Health Systems,E0054,HR,HR Business Partner,Mid,"Atlanta, GA",93000
Acorn Health Systems,E0055,Sales,Sales Manager,Manager,"Atlanta, GA",149500
Acorn Health Systems,E0056,HR,HR Business Partner,Senior,"San Francisco, CA",158500
Acorn Health Systems,E0057,Engineering,Software Engineer,Senior,"Austin, TX",168500
Acorn Health Systems,E0058,Engineering,Data Engineer,Junior,"Seattle, WA",120500
Acorn Health Systems,E0059,Engineering,Software Engineer,Junior,Remote (US),111500
Acorn Health Systems,E0060,Customer Support,Support Lead,Lead,"Atlanta, GA",84000
Acorn Health Systems,E0061,Customer Support,Support Specialist,Junior,Remote (US),56000
Acorn Health Systems,E0062,Engineering,Engineering Manager,Manager,"Austin, TX",201000
Acorn Health Systems,E0063,Finance,Finance Manager,Manager,"Seattle, WA",153000
Acorn Health Systems,E0064,Customer Support,Support Manager,Manager,Remote (US),110000
Acorn Health Systems,E0065,Engineering,QA Engineer,Mid,Remote (US),144000
Acorn Health Systems,E0066,Sales,Sales Manager,Senior Manager,"Chicago, IL",185000
Acorn Health Systems,E0067,Engineering,Engineering Manager,Manager,"Seattle, WA",248000
Acorn Health Systems,E0068,Finance,Financial Analyst,Junior,"Austin, TX",79000
Acorn Health Systems,E0069,Engineering,Software Engineer,Mid,"Atlanta, GA",135000
Acorn Health Systems,E0070,Operations,Operations Analyst,Junior,"San Francisco, CA",86500
Acorn Health Systems,E0071,Marketing,Marketing Manager,Manager,"Seattle, WA",144500
Acorn Health Systems,E0072,Engineering,Software Engineer,Junior,"Austin, TX",100000
Acorn Health Systems,E0073,Engineering,Software Engineer,Mid,"Austin, TX",136000
Acorn Health Systems,E0074,Finance,Finance Manager,Manager,"Seattle, WA",163500
Acorn Health Systems,E0075,Marketing,Marketing Manager,Manager,Remote (US),120000
Acorn Health Systems,E0076,Marketing,Marketing Manager,Senior Manager,"Seattle, WA",189000
Acorn Health Systems,E0077,Marketing,Content Strategist,Senior,"Seattle, WA",120000
Acorn Health Systems,E0078,Engineering,Software Engineer,Junior,Remote (US),91500
Acorn Health Systems,E0079,Customer Support,Support Lead,Lead,"Chicago, IL",103500
Acorn Health Systems,E0080,Engineering,Engineering Manager,Senior Manager,Remote (US),249000
Acorn Health Systems,E0081,HR,HR Generalist,Senior,Remote (US),124500
Acorn Health Systems,E0082,Product,UX Researcher,Junior,"San Francisco, CA",111500
Acorn Health Systems,E0083,Customer Support,Support Lead,Lead,"San Francisco, CA",109500
Acorn Health Systems,E0084,Engineering,Data Engineer,Junior,"Seattle, WA",110500
Acorn Health Systems,E0085,Customer Support,Support Manager,Manager,"Seattle, WA",112000
Acorn Health Systems,E0086,Customer Support,Support Lead,Lead,"Austin, TX",88000
Acorn Health Systems,E0087,Marketing,Content Strategist,Mid,"San Francisco, CA",121000
Acorn Health Systems,E0088,Product,Product Designer,Senior,"San Francisco, CA",175000
Acorn Health Systems,E0089,HR,HR Generalist,Senior,"Atlanta, GA",105500
Acorn Health Systems,E0090,Sales,Account Executive,Mid,"Seattle, WA",118000
Acorn Health Systems,E0091,Engineering,Data Engineer,Mid,"Chicago, IL",152000
Acorn Health Systems,E0092,Marketing,Content Strategist,Mid,"Chicago, IL",92500
Acorn Health Systems,E0093,Marketing,Marketing Specialist,Junior,"Chicago, IL",68000
Acorn Health Systems,E0094,Sales,Account Executive,Senior,"Austin, TX",140000
Acorn Health Systems,E0095,Marketing,Content Strategist,Senior,"Chicago, IL",123500
Acorn Health Systems,E0096,Sales,Sales Manager,Senior Manager,"Seattle, WA",180000
Acorn Health Systems,E0097,Sales,Account Executive,Senior,"Seattle, WA",145500
Acorn Health Systems,E0098,Customer Support,Support Specialist,Senior,Remote (US),90500
Acorn Health Systems,E0099,Engineering,Software Engineer,Senior,"San Francisco, CA",176000
Acorn Health Systems,E0100,Engineering,Software Engineer,Staff,"Atlanta, GA",165000
Acorn Health Systems,E0101,Engineering,Data Engineer,Junior,"Atlanta, GA",97000
Acorn Health Systems,E0102,Product,Product Manager,Associate,"San Francisco, CA",114000
Acorn Health Systems,E0103,Customer Support,Support Manager,Manager,Remote (US),104000
Acorn Health Systems,E0104,Sales,Account Executive,Senior,"San Francisco, CA",181500
Acorn Health Systems,E0105,HR,HR Manager,Manager,"Atlanta, GA",130000
Acorn Health Systems,E0106,Engineering,Software Engineer,Junior,"Chicago, IL",102000
Acorn Health Systems,E0107,Customer Support,Support Manager,Manager,"Austin, TX",101000
Acorn Health Systems,E0108,Marketing,Marketing Specialist,Senior,Remote (US),109000
Acorn Health Systems,E0109,Engineering,QA Engineer,Junior,"Austin, TX",101000
Acorn Health Systems,E0110,Engineering,Engineering Manager,Manager,Remote (US),199500
Acorn Health Systems,E0111,Engineering,QA Engineer,Mid,"Austin, TX",138500
Acorn Health Systems,E0112,Engineering,Software Engineer,Junior,"Chicago, IL",96500
Acorn Health Systems,E0113,HR,HR Manager,Manager,"San Francisco, CA",157500
Acorn Health Systems,E0114,Finance,Finance Manager,Manager,"Atlanta, GA",151000
Acorn Health Systems,E0115,Product,Product Designer,Junior,"Austin, TX",89000
Acorn Health Systems,E0116,HR,HR Generalist,Junior,"Austin, TX",73500
Acorn Health Systems,E0117,Finance,Accountant,Junior,"Chicago, IL",85000
Acorn Health Systems,E0118,Engineering,QA Engineer,Senior,Remote (US),163500
Acorn Health Systems,E0119,HR,HR Manager,Manager,Remote (US),130500
Acorn Health Systems,E0120,Sales,Sales Manager,Senior Manager,Remote (US),170500
Acorn Health Systems,E0121,Finance,Financial Analyst,Junior,"Austin, TX",79500
Acorn Health Systems,E0122,HR,HR Generalist,Junior,Remote (US),67000
Acorn Health Systems,E0123,Customer Support,Support Manager,Manager,"Austin, TX",101500
Acorn Health Systems,E0124,Engineering,QA Engineer,Senior,"Seattle, WA",193000
Acorn Health Systems,E0125,Engineering,QA Engineer,Junior,Remote (US),113000
Acorn Health Systems,E0126,Customer Support,Support Manager,Manager,"Atlanta, GA",103500
Acorn Health Systems,E0127,Finance,Accountant,Mid,"San Francisco, CA",145000
Acorn Health Systems,E0128,HR,HR Generalist,Senior,"Chicago, IL",113500
Acorn Health Systems,E0129,Engineering,QA Engineer,Junior,"San Francisco, CA",128000
Acorn Health Systems,E0130,Sales,Sales Development Rep,Junior,Remote (US),67000
Acorn Health Systems,E0131,Customer Support,Support Lead,Lead,Remote (US),109000
